CFQ,Sensitivity,1-Specificity
0,1,1
1,1,0.999
2,0.997,0.998
3,0.997,0.997
4,0.997,0.993
5,0.994,0.985
6,0.989,0.979
7,0.989,0.964
8,0.989,0.94
9,0.989,0.913
10,0.978,0.866
11,0.966,0.637
12,0.966,0.565
13,0.958,0.484
14,0.936,0.408
15,0.922,0.33
16,0.899,0.26
17,0.888,0.207
18,0.854,0.167
19,0.824,0.136
20,0.773,0.107
21,0.728,0.084
22,0.658,0.062
23,0.605,0.043
24,0.546,0.029
25,0.473,0.018
26,0.415,0.014
27,0.339,0.01
28,0.286,0
29,0.202,0
30,0.151,0
31,0.095,0
32,0.062,0
33,0,0
